Station_ID,Region,Latitude,Longitude,Soil_Moisture_Pct,Ground_Displacement_mm,Rainfall_Rate_mm_hr,SAR_Backscatter_dB,NDVI_Index,Risk_Level
ISRO_STN_025,Central Plateau,16.986,68.0357,34.26,-4.34,2.57,-8.54,0.344,Low
ISRO_STN_017,Central Plateau,27.7248,85.3515,72.57,12.54,4.15,-11.41,0.347,Low
ISRO_STN_010,Coastal Plains,26.7304,85.6119,57.2,-3.69,7.36,-5.16,0.201,Low
ISRO_STN_016,North-East Hills,12.5017,75.1787,24.91,14.31,1.03,-12.22,0.454,Low
ISRO_STN_015,Central Plateau,31.723,84.194,14.85,-4.49,3.23,-4.48,0.675,Low
ISRO_STN_015,Western Ghats,21.3764,74.5407,13.2,9.03,1.93,-11.17,0.835,Low
ISRO_STN_019,Western Ghats,28.0194,72.6639,37.86,-3.34,0.16,-16.87,0.579,Low
ISRO_STN_012,Himalayan Region,23.4751,86.8941,29.94,13.4,2.93,-7.56,0.776,High
ISRO_STN_023,Central Plateau,34.9377,77.4518,58.46,4.38,2.93,-8.79,0.745,High
ISRO_STN_020,North-East Hills,28.3149,85.1177,47.45,-2.22,6.67,-7.45,0.252,Low
ISRO_STN_025,Coastal Plains,27.0885,80.5642,29.95,1.88,1.72,-4.89,0.489,Critical
ISRO_STN_003,Coastal Plains,29.0214,96.5462,21.19,-1.67,0.65,-7.4,0.209,Low
ISRO_STN_005,North-East Hills,11.8645,72.3378,19.54,-1.55,0.11,-9.76,0.638,Moderate
ISRO_STN_019,Himalayan Region,13.5227,81.4734,74.85,14.15,1.34,-6.24,0.842,Moderate
ISRO_STN_007,Coastal Plains,27.2797,87.7332,28.26,3.99,0.9,-8.87,0.224,Low
ISRO_STN_021,Central Plateau,21.3375,79.4708,58.88,10.93,3.58,-12.66,0.678,Low
ISRO_STN_009,Himalayan Region,28.3752,96.2663,70.8,7.92,1.09,-5.84,0.601,Low
ISRO_STN_007,Central Plateau,10.7787,88.9347,56.06,8.66,7.44,-15.33,0.564,Low
ISRO_STN_018,Western Ghats,22.485,87.0525,74.47,-2.34,8.2,-8.28,0.416,Moderate
ISRO_STN_004,Himalayan Region,18.2282,89.9547,39.43,-0.27,2.42,-5.89,0.39,Low
ISRO_STN_025,Coastal Plains,20.339,95.6268,81.72,10.89,6.6,-8.04,0.154,Low
ISRO_STN_014,Himalayan Region,24.3069,94.3267,19.99,14.61,3.58,-8.53,0.286,Low
ISRO_STN_018,Himalayan Region,21.5618,89.0043,17.66,0.31,1.98,-7.74,0.132,Low
ISRO_STN_009,Himalayan Region,22.5762,89.7257,59.4,0.49,0.5,-11.85,0.562,Low
ISRO_STN_021,Himalayan Region,21.1317,72.2317,80.71,4.55,1.53,-6.0,0.2,Low
ISRO_STN_002,Central Plateau,19.0418,70.981,70.67,14.87,2.06,-15.59,0.783,High
ISRO_STN_020,Western Ghats,28.8408,84.5562,15.73,0.43,4.99,-16.68,0.518,Low
ISRO_STN_015,North-East Hills,8.3295,68.5327,30.95,3.22,1.64,-14.42,0.652,Low
ISRO_STN_007,Himalayan Region,24.158,81.9883,79.77,13.01,5.7,-10.9,0.432,Moderate
ISRO_STN_012,Coastal Plains,23.2687,74.1001,28.98,-4.94,2.8,-11.2,0.546,Low
ISRO_STN_008,Himalayan Region,27.3368,78.0345,68.59,-4.2,0.37,-6.77,0.836,Moderate
ISRO_STN_015,Coastal Plains,24.1738,90.4983,71.88,7.2,13.24,-12.71,0.183,Moderate
ISRO_STN_003,Central Plateau,30.3236,95.2959,47.16,13.33,1.87,-11.57,0.313,Low
ISRO_STN_014,Coastal Plains,33.895,70.1001,38.98,-0.18,1.24,-18.31,0.713,Low
ISRO_STN_017,North-East Hills,17.2482,83.493,43.76,4.49,2.69,-12.64,0.195,Low
ISRO_STN_004,Western Ghats,14.1385,93.5935,27.02,4.1,0.29,-9.24,0.178,Low
ISRO_STN_018,Coastal Plains,19.4371,70.3927,76.7,4.55,2.53,-18.28,0.395,Low
ISRO_STN_008,Coastal Plains,15.7741,91.9109,43.8,7.57,1.72,-14.48,0.19,Low
ISRO_STN_004,Western Ghats,24.6037,78.3762,76.18,4.49,1.31,-15.53,0.565,Low
ISRO_STN_002,North-East Hills,32.62,77.3407,17.93,4.04,7.65,-17.9,0.292,Low
ISRO_STN_006,Himalayan Region,11.7561,96.3465,84.12,4.58,1.85,-11.65,0.801,Moderate
ISRO_STN_022,Coastal Plains,10.7215,73.8249,43.25,6.94,0.62,-15.9,0.715,Low
ISRO_STN_010,Western Ghats,14.9124,88.1026,13.59,5.85,1.54,-7.87,0.652,Low
ISRO_STN_004,Central Plateau,27.6046,91.8218,12.85,12.25,6.3,-6.37,0.589,Low
ISRO_STN_022,Western Ghats,24.01,69.1943,65.97,-4.0,0.48,-10.7,0.776,High
ISRO_STN_018,Central Plateau,10.7597,87.4412,59.43,11.83,0.6,-4.46,0.29,Low
ISRO_STN_012,North-East Hills,32.8063,95.5949,70.16,12.05,0.03,-12.06,0.784,High
ISRO_STN_002,Himalayan Region,29.3323,71.6024,17.9,0.76,0.04,-11.16,0.72,Low
ISRO_STN_010,Western Ghats,8.6216,93.9904,12.67,4.35,4.42,-4.35,0.689,Moderate
ISRO_STN_004,Coastal Plains,25.5869,85.2485,48.14,3.86,3.29,-15.19,0.547,Low
ISRO_STN_014,North-East Hills,28.8237,85.8815,39.07,-0.59,1.1,-5.02,0.307,Low
ISRO_STN_016,Western Ghats,18.1098,85.7754,44.65,3.02,3.0,-17.89,0.442,Low
ISRO_STN_015,Coastal Plains,9.8609,76.6662,84.37,-4.1,1.26,-12.12,0.723,Low
ISRO_STN_008,Western Ghats,10.0877,95.1209,82.81,0.61,7.64,-17.5,0.144,Low
ISRO_STN_014,Central Plateau,10.8147,95.4732,80.67,11.5,8.53,-8.07,0.714,Low
ISRO_STN_023,Western Ghats,30.6919,86.1338,68.79,0.75,1.25,-9.8,0.302,Moderate
ISRO_STN_025,Western Ghats,32.5885,90.7193,36.61,11.53,4.81,-8.4,0.23,High
ISRO_STN_008,Western Ghats,11.3159,85.7555,40.91,5.74,3.71,-13.14,0.208,Low
ISRO_STN_021,North-East Hills,14.3695,82.0476,51.22,12.77,0.93,-13.22,0.141,Low
ISRO_STN_016,Western Ghats,12.4691,87.1638,72.29,6.61,0.66,-17.85,0.518,Low
ISRO_STN_013,Coastal Plains,13.0307,84.037,15.15,-4.4,1.53,-13.5,0.286,Moderate
ISRO_STN_018,Central Plateau,30.6123,85.3268,41.82,8.64,3.8,-5.21,0.872,Low
ISRO_STN_015,Central Plateau,16.968,90.7311,16.2,-4.09,8.06,-13.08,0.557,Critical
ISRO_STN_021,Western Ghats,16.409,81.9462,48.6,4.1,3.61,-6.61,0.225,Low
ISRO_STN_024,North-East Hills,14.1397,69.1819,77.42,13.77,4.83,-6.45,0.643,Low
ISRO_STN_025,North-East Hills,24.4131,72.756,68.69,-1.66,2.31,-13.16,0.802,Moderate
ISRO_STN_013,Coastal Plains,18.2413,80.7196,27.09,2.88,4.51,-9.46,0.686,Moderate
ISRO_STN_009,Western Ghats,28.0947,89.02,83.2,9.74,3.84,-17.14,0.178,Low
ISRO_STN_015,Central Plateau,13.5507,85.2051,60.05,12.82,1.18,-17.02,0.801,Low
ISRO_STN_013,North-East Hills,29.2703,86.8585,10.78,8.55,2.01,-17.8,0.723,Critical
ISRO_STN_001,Western Ghats,24.3005,81.8991,29.16,0.22,4.08,-10.19,0.24,Low
ISRO_STN_025,North-East Hills,11.0852,85.8565,29.55,8.63,0.12,-12.41,0.159,High
ISRO_STN_007,North-East Hills,19.1916,77.5415,15.19,0.99,4.13,-10.66,0.544,Low
ISRO_STN_009,Central Plateau,31.315,81.6353,81.99,9.51,0.49,-11.05,0.239,Moderate
ISRO_STN_024,Himalayan Region,32.9199,89.5841,45.87,14.27,1.81,-13.49,0.754,Moderate
ISRO_STN_001,Coastal Plains,20.5739,93.2832,77.19,9.57,4.13,-8.81,0.392,Low
ISRO_STN_012,Coastal Plains,20.9826,80.576,34.17,12.43,0.73,-7.65,0.814,High
ISRO_STN_008,Central Plateau,32.7983,69.2662,19.39,-4.96,0.71,-18.29,0.55,Low
ISRO_STN_024,North-East Hills,23.8508,72.6885,45.58,9.49,1.29,-15.54,0.259,Low
ISRO_STN_011,Western Ghats,8.8869,68.605,18.55,11.76,5.63,-8.3,0.226,Low
ISRO_STN_019,North-East Hills,32.6442,86.9446,46.45,-4.18,0.0,-12.97,0.558,Low
ISRO_STN_017,Central Plateau,14.7021,77.6371,79.02,12.61,5.79,-9.03,0.699,Moderate
ISRO_STN_008,Coastal Plains,23.5961,83.7319,49.06,0.19,0.42,-13.54,0.714,Low
ISRO_STN_003,North-East Hills,12.4689,82.305,56.24,8.44,11.53,-12.91,0.33,Low
ISRO_STN_003,Coastal Plains,8.9147,70.3643,21.75,11.17,7.74,-16.23,0.275,Low
ISRO_STN_001,Western Ghats,16.4098,79.6946,13.28,8.39,1.71,-14.81,0.133,Low
ISRO_STN_005,Coastal Plains,29.0734,74.3963,18.31,-3.14,1.8,-9.84,0.636,Low
ISRO_STN_010,Coastal Plains,15.4949,80.1336,54.89,7.05,1.64,-12.31,0.178,Moderate
ISRO_STN_007,Himalayan Region,13.9426,73.9038,17.13,6.1,2.52,-7.43,0.44,High
ISRO_STN_009,Himalayan Region,13.7424,92.3731,38.2,13.19,0.24,-6.31,0.577,Moderate
ISRO_STN_007,Himalayan Region,21.9097,73.0516,51.26,3.17,0.08,-10.75,0.832,Low
ISRO_STN_009,Coastal Plains,34.3396,95.8626,39.15,1.49,0.15,-7.66,0.357,Low
ISRO_STN_008,Central Plateau,20.3927,80.0613,22.28,10.15,1.47,-14.11,0.31,Low
ISRO_STN_012,Coastal Plains,23.0472,92.5411,30.53,3.34,0.81,-12.57,0.617,Low
ISRO_STN_002,Central Plateau,31.2371,86.2342,79.62,8.05,2.43,-8.31,0.591,Low
ISRO_STN_001,Central Plateau,22.4469,89.3252,60.7,8.06,12.21,-12.98,0.372,Low
ISRO_STN_016,Himalayan Region,12.9805,90.264,47.2,12.94,1.22,-10.08,0.825,Low
ISRO_STN_023,North-East Hills,16.0891,82.6405,10.95,7.09,2.13,-15.85,0.762,High
ISRO_STN_023,Western Ghats,16.3683,83.7557,84.43,5.14,1.34,-9.92,0.29,Low
ISRO_STN_024,Himalayan Region,18.7276,82.9059,60.36,-2.19,4.7,-6.18,0.302,Low
ISRO_STN_005,Himalayan Region,19.5233,85.0537,33.77,-2.66,5.81,-6.08,0.509,Low
ISRO_STN_003,North-East Hills,29.5941,68.8524,75.95,-1.88,5.25,-8.14,0.708,Low
ISRO_STN_012,Western Ghats,17.4334,79.4699,29.38,-1.53,9.16,-7.84,0.153,High
ISRO_STN_008,Coastal Plains,20.6423,85.5795,50.8,7.89,0.07,-10.52,0.647,Low
ISRO_STN_022,Coastal Plains,24.8744,85.334,57.71,9.97,4.58,-10.14,0.613,Low
ISRO_STN_003,Himalayan Region,18.1986,90.9957,26.58,5.71,3.48,-16.59,0.296,Low
ISRO_STN_001,Western Ghats,30.5872,86.9953,83.38,11.75,0.65,-12.15,0.638,Low
ISRO_STN_003,Himalayan Region,23.8612,96.7719,66.11,15.02,7.83,-12.05,0.835,Low
ISRO_STN_005,Central Plateau,15.9392,76.2318,51.84,11.56,0.4,-4.79,0.156,Moderate
ISRO_STN_015,Himalayan Region,27.2796,78.4154,23.54,9.04,2.85,-12.34,0.363,Moderate
ISRO_STN_014,Himalayan Region,22.2465,79.1316,14.04,5.76,0.64,-10.64,0.453,Moderate
ISRO_STN_003,Coastal Plains,22.4303,81.5086,34.0,4.07,1.41,-10.87,0.803,Low
ISRO_STN_001,Coastal Plains,20.9894,92.2439,66.49,-3.3,3.17,-9.39,0.851,Moderate
ISRO_STN_005,Coastal Plains,21.4193,74.838,30.2,3.07,2.07,-7.8,0.458,Low
ISRO_STN_023,Central Plateau,28.6646,90.504,50.47,13.38,1.39,-15.28,0.69,Low
ISRO_STN_014,Coastal Plains,10.7805,79.754,64.6,11.32,0.99,-10.94,0.524,Moderate
ISRO_STN_007,Western Ghats,17.0278,85.4538,18.1,-0.64,4.58,-6.69,0.529,Low
ISRO_STN_009,North-East Hills,10.0386,86.3437,61.4,4.43,0.39,-11.88,0.331,Low
ISRO_STN_015,Western Ghats,28.3376,78.8126,16.89,11.5,1.41,-14.52,0.285,Moderate
ISRO_STN_015,Western Ghats,15.3522,82.8658,82.38,-3.64,5.85,-9.14,0.339,Low
ISRO_STN_010,Coastal Plains,32.2306,79.9779,46.63,2.83,4.67,-6.72,0.543,Low
ISRO_STN_013,North-East Hills,22.2176,70.0049,21.3,12.21,1.28,-17.6,0.142,Low
ISRO_STN_019,North-East Hills,29.6202,80.6778,35.68,3.16,3.6,-7.39,0.81,High
ISRO_STN_007,North-East Hills,34.4311,70.8244,41.01,-3.43,4.33,-6.75,0.239,Critical
ISRO_STN_017,Central Plateau,30.6743,79.7456,66.86,5.96,5.49,-11.9,0.287,High
ISRO_STN_020,Coastal Plains,31.4088,85.1946,65.76,12.41,1.97,-4.44,0.514,Low
ISRO_STN_004,North-East Hills,19.0156,84.803,55.9,6.92,0.57,-7.25,0.66,Low
ISRO_STN_005,Central Plateau,22.8965,87.216,17.94,-0.43,0.74,-7.44,0.193,Low
ISRO_STN_023,Himalayan Region,14.855,70.7626,21.37,2.76,0.88,-7.81,0.361,Low
ISRO_STN_007,Himalayan Region,13.2951,86.9116,17.03,4.09,2.25,-16.35,0.856,Low
ISRO_STN_013,Central Plateau,21.6487,77.0523,53.29,6.7,0.08,-15.39,0.319,Low
ISRO_STN_015,Central Plateau,24.0663,79.5723,75.79,10.34,2.53,-11.86,0.358,Low
ISRO_STN_011,Coastal Plains,17.1603,92.8816,42.54,-3.0,1.13,-14.72,0.756,Critical
ISRO_STN_004,Coastal Plains,23.375,68.2619,22.06,12.97,0.87,-12.56,0.158,Low
ISRO_STN_013,Himalayan Region,31.9614,85.064,51.85,-4.75,5.29,-5.79,0.473,Low
ISRO_STN_007,North-East Hills,23.0315,85.3627,70.88,2.48,1.54,-6.71,0.409,Low
ISRO_STN_019,Himalayan Region,27.462,79.5031,65.63,-4.45,0.25,-9.49,0.361,High
ISRO_STN_022,North-East Hills,29.7435,74.8738,76.11,2.94,4.38,-6.23,0.337,Moderate
ISRO_STN_002,North-East Hills,34.6957,74.8055,30.84,5.62,0.12,-7.29,0.189,Moderate
ISRO_STN_010,Coastal Plains,24.2863,93.6276,24.55,5.34,3.24,-12.37,0.359,High
ISRO_STN_013,Western Ghats,29.785,80.8187,75.99,-1.65,3.72,-15.62,0.153,Low
ISRO_STN_025,Western Ghats,33.9915,77.5958,59.32,8.04,1.09,-11.15,0.714,Low
ISRO_STN_021,Central Plateau,33.4991,81.0145,33.32,-4.1,4.35,-7.97,0.423,Low
ISRO_STN_006,Coastal Plains,11.8092,87.4123,65.68,10.39,1.81,-12.26,0.457,Low
ISRO_STN_012,North-East Hills,18.9726,72.2269,71.13,14.12,1.56,-8.97,0.799,Low
ISRO_STN_012,Western Ghats,16.7477,81.0336,56.12,1.86,0.12,-17.15,0.62,Low
ISRO_STN_020,North-East Hills,10.347,85.0486,61.59,5.45,0.86,-7.8,0.126,High
ISRO_STN_011,Western Ghats,25.0975,95.5089,38.14,2.65,6.68,-6.88,0.837,Critical
ISRO_STN_023,Western Ghats,27.8694,75.3233,50.4,-4.86,1.24,-8.39,0.3,Moderate
ISRO_STN_025,Western Ghats,30.8995,78.4183,49.31,2.79,1.98,-4.67,0.202,Moderate
ISRO_STN_007,Coastal Plains,11.315,79.0014,73.6,10.99,1.9,-6.68,0.704,Moderate
ISRO_STN_001,Himalayan Region,31.664,85.5606,73.0,7.04,2.23,-5.59,0.5,Low
ISRO_STN_001,North-East Hills,25.359,78.3452,72.45,-2.95,0.16,-5.15,0.45,Low
ISRO_STN_025,Coastal Plains,27.0065,83.4718,10.83,12.11,1.12,-7.04,0.31,Moderate
ISRO_STN_025,Coastal Plains,32.5868,90.6719,66.22,5.73,3.21,-8.86,0.536,Moderate
ISRO_STN_020,Coastal Plains,24.8686,88.4562,66.9,12.0,0.56,-18.42,0.329,Low
ISRO_STN_013,Coastal Plains,17.0684,80.9447,60.88,6.72,0.57,-11.84,0.805,High
ISRO_STN_009,Coastal Plains,30.2779,93.0623,66.72,6.31,0.03,-10.33,0.284,Low
ISRO_STN_003,Central Plateau,17.8026,84.1861,73.15,-2.87,1.44,-14.15,0.792,Low
ISRO_STN_007,North-East Hills,8.9242,83.6573,45.27,-1.62,5.36,-13.95,0.545,Moderate
ISRO_STN_006,Coastal Plains,30.4277,68.9914,47.65,14.63,0.13,-4.76,0.75,Low
ISRO_STN_008,North-East Hills,17.3202,96.6141,19.35,-0.38,0.53,-5.75,0.662,Low
ISRO_STN_009,Central Plateau,28.8935,71.5662,38.9,14.74,0.93,-6.36,0.649,Low
ISRO_STN_005,Central Plateau,17.7945,74.7028,58.25,5.74,3.29,-12.69,0.367,Moderate
ISRO_STN_001,North-East Hills,31.2488,69.4992,68.53,-2.26,2.56,-18.3,0.298,Low
ISRO_STN_019,Western Ghats,13.9268,86.5601,26.29,-2.99,1.34,-17.35,0.28,Moderate
ISRO_STN_010,Himalayan Region,34.3128,74.5163,20.34,-0.78,3.56,-14.04,0.771,Low
ISRO_STN_012,Western Ghats,29.0535,73.2203,59.73,13.7,2.35,-18.27,0.744,Low
ISRO_STN_024,Western Ghats,11.0844,70.5681,10.14,3.37,5.66,-18.25,0.455,Critical
ISRO_STN_015,Western Ghats,23.276,70.996,23.38,2.99,4.26,-5.39,0.221,Low
ISRO_STN_022,Coastal Plains,34.6049,84.9555,12.18,1.33,0.73,-8.4,0.411,Critical
ISRO_STN_024,Central Plateau,20.7188,87.958,22.52,-2.03,0.79,-14.08,0.591,Low
ISRO_STN_009,Western Ghats,12.9169,79.524,23.6,4.85,0.33,-16.6,0.465,Critical
ISRO_STN_020,Central Plateau,21.089,81.917,39.08,-2.37,1.03,-11.18,0.713,Low
ISRO_STN_017,North-East Hills,21.8364,87.8931,40.17,11.88,19.23,-18.42,0.878,Low
ISRO_STN_017,Himalayan Region,28.0255,68.504,75.57,2.48,1.3,-5.08,0.265,Low
ISRO_STN_020,North-East Hills,26.8688,77.3708,48.26,2.57,0.62,-12.57,0.469,Low
ISRO_STN_012,North-East Hills,18.8689,96.2198,64.26,4.57,3.59,-12.75,0.448,Moderate
ISRO_STN_007,Coastal Plains,13.8866,84.8233,17.81,3.97,1.95,-12.91,0.351,Low
ISRO_STN_002,Himalayan Region,25.4165,75.3725,26.91,15.1,0.41,-17.51,0.271,Low
ISRO_STN_003,North-East Hills,19.386,83.1302,62.72,6.02,1.2,-9.37,0.17,Low
ISRO_STN_017,North-East Hills,11.5715,77.937,13.96,-3.22,1.34,-8.02,0.794,Low
ISRO_STN_005,Himalayan Region,32.3155,83.4351,46.49,7.26,3.5,-8.83,0.439,Moderate
ISRO_STN_017,Himalayan Region,26.663,71.6465,54.95,-1.94,0.05,-16.52,0.498,Low
ISRO_STN_024,North-East Hills,26.446,71.8487,55.16,-4.38,0.78,-10.22,0.817,Moderate
ISRO_STN_017,Himalayan Region,30.2098,72.1627,11.72,14.61,1.82,-10.36,0.71,Moderate
ISRO_STN_017,North-East Hills,22.3009,95.2548,34.16,10.63,0.78,-6.08,0.219,Moderate
ISRO_STN_002,North-East Hills,30.0065,89.2541,57.74,14.8,2.48,-13.08,0.55,Low
ISRO_STN_002,Coastal Plains,21.4485,72.7091,21.17,4.65,1.64,-13.19,0.456,Moderate
ISRO_STN_022,Western Ghats,9.8137,73.4621,62.16,5.75,1.12,-9.66,0.726,Critical
ISRO_STN_023,North-East Hills,18.9417,89.1941,65.94,-1.6,7.45,-9.45,0.67,Moderate
ISRO_STN_005,Central Plateau,21.4316,72.5288,83.65,-0.01,2.5,-11.79,0.645,Low
ISRO_STN_001,Western Ghats,27.4455,74.8023,25.74,11.94,0.35,-12.16,0.379,Moderate
ISRO_STN_001,Western Ghats,10.8776,95.9371,71.88,2.19,2.05,-11.43,0.732,Moderate
ISRO_STN_019,Western Ghats,11.7805,75.4039,49.02,11.7,3.79,-6.19,0.16,Moderate
ISRO_STN_002,Coastal Plains,15.1195,87.1873,38.01,9.32,3.08,-11.91,0.241,Low
ISRO_STN_021,North-East Hills,15.1955,96.3803,19.18,-1.42,0.47,-5.06,0.375,Low
ISRO_STN_012,Coastal Plains,27.769,78.8546,65.16,5.25,8.98,-11.29,0.178,Moderate
ISRO_STN_006,North-East Hills,14.7697,68.508,27.69,8.68,1.49,-4.93,0.299,Low
ISRO_STN_023,Coastal Plains,25.0936,75.0803,37.86,-0.25,0.43,-6.59,0.751,Moderate
ISRO_STN_004,Coastal Plains,21.3454,92.0954,14.69,11.78,0.5,-13.32,0.841,Low
ISRO_STN_023,Central Plateau,23.4789,93.0737,70.1,6.01,0.26,-6.15,0.351,Low
ISRO_STN_011,Coastal Plains,30.6289,90.2871,67.49,-1.66,4.07,-16.93,0.321,Low
ISRO_STN_024,Himalayan Region,18.9183,71.2802,65.02,6.78,0.33,-5.27,0.333,Low
ISRO_STN_017,Central Plateau,28.8146,91.0698,32.46,15.19,0.33,-9.47,0.331,Critical
ISRO_STN_006,Coastal Plains,19.395,94.6417,23.01,-1.96,4.75,-17.72,0.147,High
ISRO_STN_024,Western Ghats,17.5545,85.4177,57.82,11.5,1.06,-9.29,0.824,Moderate
ISRO_STN_005,Himalayan Region,33.8829,95.2854,47.21,-0.81,0.08,-4.57,0.282,Low
ISRO_STN_020,Himalayan Region,12.978,91.9783,23.37,10.8,0.13,-17.5,0.439,Moderate
ISRO_STN_002,Himalayan Region,10.4391,87.3422,61.44,9.84,0.38,-10.57,0.127,Moderate
ISRO_STN_006,Central Plateau,28.8166,84.7384,84.33,1.07,0.6,-7.81,0.772,Low
ISRO_STN_022,Coastal Plains,9.8427,78.1086,66.04,1.58,2.74,-6.91,0.676,Low
ISRO_STN_011,Coastal Plains,30.6011,72.6193,65.5,11.01,0.43,-12.58,0.84,Moderate
ISRO_STN_016,Western Ghats,19.8042,85.5437,81.27,4.32,0.32,-15.58,0.714,Moderate
ISRO_STN_016,Western Ghats,32.7189,77.2252,25.22,9.76,3.62,-17.89,0.358,Critical
ISRO_STN_001,Himalayan Region,27.4814,93.1267,52.42,-2.01,2.78,-10.21,0.308,Low
ISRO_STN_009,Western Ghats,24.4809,96.8068,83.47,12.22,1.43,-12.02,0.65,Moderate
ISRO_STN_006,Central Plateau,33.6313,89.8204,22.4,9.36,1.99,-4.93,0.397,Low
ISRO_STN_016,Coastal Plains,18.7095,70.624,62.52,13.32,0.93,-17.63,0.55,Low
ISRO_STN_003,Himalayan Region,33.7603,76.3719,53.94,-2.33,1.65,-8.7,0.125,Low
ISRO_STN_020,Western Ghats,11.645,71.1642,53.99,6.98,1.77,-18.14,0.167,Low
ISRO_STN_004,Central Plateau,21.0614,86.8648,62.33,7.1,1.22,-16.05,0.527,Low
ISRO_STN_019,Central Plateau,15.2876,90.1905,79.72,2.14,5.93,-12.01,0.55,Low
ISRO_STN_003,Western Ghats,22.5758,94.8446,68.69,4.26,0.04,-12
ISRO_STN_007,North-East Hills,33.0141,89.2068,29.9,0.32,0.86,-13.56,0.868,Critical
ISRO_STN_020,Western Ghats,27.4831,94.3762,23.33,-4.07,0.58,-12.58,0.834,Low
ISRO_STN_015,Coastal Plains,9.2986,92.8634,61.87,6.46,0.41,-8.03,0.464,Low
ISRO_STN_011,Himalayan Region,29.1009,95.9711,56.35,0.73,5.74,-5.89,0.271,High
ISRO_STN_008,Himalayan Region,30.3544,90.0427,57.49,11.66,3.1,-16.76,0.245,Low
ISRO_STN_021,Coastal Plains,28.2636,80.8267,27.17,-3.5,6.93,-9.42,0.302,High
ISRO_STN_007,North-East Hills,29.5875,77.0466,27.45,-0.43,2.31,-10.18,0.66,Critical
ISRO_STN_019,Himalayan Region,30.2786,77.3015,26.56,9.75,1.6,-16.81,0.327,Moderate
ISRO_STN_023,North-East Hills,13.0329,89.0083,23.03,7.1,0.15,-15.47,0.379,Moderate
ISRO_STN_011,Himalayan Region,14.3637,89.6293,59.18,-3.7,2.78,-14.05,0.461,Low
ISRO_STN_011,Himalayan Region,25.1115,73.8104,73.6,12.72,2.18,-16.11,0.814,High
ISRO_STN_024,Central Plateau,32.5124,93.1756,64.32,12.72,11.57,-15.01,0.264,Low
ISRO_STN_021,Himalayan Region,16.5373,88.7328,69.41,1.67,0.68,-14.67,0.124,Moderate
